Source	Target	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SHMT2	TYMS	9606.ENSP00000333667	9606.ENSP00000315644	0.174	0	0	0	0.201	0	0.900	0.809	0.985
SHMT2	SHMT1	9606.ENSP00000333667	9606.ENSP00000318868	0	0	0.448	0.966	0.084	0.272	0.800	0.842	0.861
SHMT2	MTR	9606.ENSP00000333667	9606.ENSP00000355536	0.049	0	0	0	0.062	0	0.900	0.731	0.972
SHMT2	MTHFR	9606.ENSP00000333667	9606.ENSP00000365777	0.079	0	0	0	0.089	0	0.900	0.825	0.983
SHMT2	MTHFD2L	9606.ENSP00000333667	9606.ENSP00000379108	0.167	0	0.225	0	0.488	0	0.900	0.725	0.989
SHMT2	MTHFD2	9606.ENSP00000333667	9606.ENSP00000377617	0.167	0	0.229	0	0.542	0	0.900	0.820	0.993
TYMS	MTHFD1	9606.ENSP00000315644	9606.ENSP00000216605	0.208	0	0	0	0.159	0	0.900	0.844	0.988
TYMS	MTRR	9606.ENSP00000315644	9606.ENSP00000264668	0	0	0	0	0.055	0	0	0.753	0.756
TYMS	AMT	9606.ENSP00000315644	9606.ENSP00000273588	0.115	0	0	0	0.064	0.056	0.900	0.572	0.960
TYMS	BHMT	9606.ENSP00000315644	9606.ENSP00000274353	0	0	0	0	0	0	0	0.604	0.604
TYMS	MTR	9606.ENSP00000315644	9606.ENSP00000355536	0	0	0	0	0	0	0	0.777	0.777
TYMS	MTHFD2L	9606.ENSP00000315644	9606.ENSP00000379108	0.214	0	0	0	0.079	0.058	0.900	0.519	0.961
TYMS	MTHFD2	9606.ENSP00000315644	9606.ENSP00000377617	0.214	0	0	0	0.140	0.058	0.900	0.649	0.973
TYMS	SHMT2	9606.ENSP00000315644	9606.ENSP00000333667	0.174	0	0	0	0.201	0	0.900	0.809	0.985
TYMS	SHMT1	9606.ENSP00000315644	9606.ENSP00000318868	0.174	0	0	0	0.166	0	0.900	0.885	0.991
TYMS	MTHFR	9606.ENSP00000315644	9606.ENSP00000365777	0.112	0	0	0	0.071	0	0.900	0.931	0.993
